Date,crowd_level,crowd_status,User_satisfaction,Original_row_index
2020-08-22,0.99,Packed,2.0,404
2020-08-22,0.99,Packed,3.0,404
2020-08-21,0.44,Quiet,4.0,406
2020-08-21,0.44,Quiet,5.0,406
2020-08-21,0.44,Quiet,1.0,406
2020-08-20,0.28,Quiet,2.0,409
2020-08-18,0.29,Quiet,4.0,410
2020-08-16,0.88,Packed,4.0,411
2020-08-16,0.88,Packed,1.0,411
2020-08-16,0.88,Packed,2.0,411
2020-08-16,0.88,Packed,4.0,411
2020-08-15,0.93,Packed,4.0,415
2020-08-14,0.6,Busy,5.0,416
2020-08-14,0.6,Busy,5.0,416
2020-08-14,0.6,Busy,5.0,416
2020-08-13,0.39,Quiet,5.0,419
2020-08-12,0.34,Quiet,5.0,420
2020-08-11,0.34,Quiet,5.0,421
2020-08-09,0.83,Packed,1.0,422
2020-08-09,0.83,Packed,5.0,422
2020-08-08,0.8,Packed,4.0,424
2020-08-08,0.8,Packed,5.0,424
2020-08-07,0.27,Quiet,1.0,426
2020-08-05,0.2,Empty,5.0,427
2020-08-03,0.16,Empty,5.0,428
2020-08-02,0.11,Empty,5.0,429
2020-08-02,0.11,Empty,5.0,429
2020-07-31,0.09,Empty,4.0,431
2020-07-30,0.11,Empty,2.0,432
2020-07-28,0.06,Empty,5.0,433
2020-07-28,0.06,Empty,4.0,433
2020-07-27,0.02,Empty,4.0,435
2020-07-24,0.08,Empty,2.0,436
2020-07-22,0.07,Empty,5.0,437
2020-07-22,0.07,Empty,4.0,437
2020-07-22,0.07,Empty,5.0,437
2020-07-22,0.07,Empty,2.0,437
2020-07-22,0.07,Empty,5.0,437
2020-07-19,0.2,Empty,2.0,442
2020-07-17,0.05,Empty,5.0,443
2020-07-17,0.05,Empty,5.0,443
2020-07-14,0.04,Empty,4.0,445
2020-07-13,0.03,Empty,5.0,446
2020-07-12,0.19,Empty,5.0,447
2020-07-11,0.26,Quiet,5.0,448
2020-07-11,0.26,Quiet,5.0,448
2020-07-10,0.05,Empty,2.0,450
2020-07-09,0.09,Empty,4.0,451
2020-07-09,0.09,Empty,3.0,451
2020-07-08,0.06,Empty,3.0,453
2020-07-08,0.06,Empty,4.0,453
2020-07-08,0.06,Empty,1.0,453
2020-07-06,0.06,Empty,5.0,456
2020-07-06,0.06,Empty,5.0,456
